Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,OperatingSystems,Browser,Region,TrafficType,Weekend,Revenue,Month_Dec,Month_Feb,Month_Jul,Month_June,Month_Mar,Month_May,Month_Nov,Month_Oct,Month_Sep,VisitorType_Other,VisitorType_Returning_Visitor,Avg_Time_Per_Page,TotalDuration
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0
0,0.0,0,0.0,2,64.0,0.0,0.1,0.0,0.0,2,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,21.333333333333332,64.0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,4,1,9,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0
0,0.0,0,0.0,2,2.666666667,0.05,0.14,0.0,0.0,3,2,2,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0.888888889,2.666666667
0,0.0,0,0.0,10,627.5,0.02,0.05,0.0,0.0,3,3,1,4,1,0,0,1,0,0,0,0,0,0,0,0,1,57.04545454545455,627.5
0,0.0,0,0.0,19,154.2166667,0.015789474,0.024561404,0.0,0.0,2,2,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,7.710833334999999,154.2166667
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.4,2,4,3,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0
1,0.0,0,0.0,0,0.0,0.2,0.2,0.0,0.0,1,2,1,5,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0
0,0.0,0,0.0,2,37.0,0.0,0.1,0.0,0.8,2,2,2,3,0,0,0,1,0,0,0,0,0,0,0,0,1,12.333333333333334,37.0
0,0.0,0,0.0,3,738.0,0.0,0.022222222,0.0,0.4,2,4,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,184.5,738.0
0,0.0,0,0.0,3,395.0,0.0,0.066666667,0.0,0.0,1,1,3,3,0,0,0,1,0,0,0,0,0,0,0,0,1,98.75,395.0
0,0.0,0,0.0,16,407.75,0.01875,0.025833333,0.0,0.4,1,1,4,3,0,0,0,1,0,0,0,0,0,0,0,0,1,23.985294117647058,407.75
0,0.0,0,0.0,7,280.5,0.0,0.028571429,0.0,0.0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,35.0625,280.5
0,0.0,0,0.0,6,98.0,0.0,0.066666667,0.0,0.0,2,5,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,14.0,98.0
0,0.0,0,0.0,2,68.0,0.0,0.1,0.0,0.0,3,2,3,3,0,0,0,1,0,0,0,0,0,0,0,0,1,22.666666666666668,68.0
2,53.0,0,0.0,23,1668.285119,0.008333333,0.016312636,0.0,0.0,1,1,9,3,0,0,0,1,0,0,0,0,0,0,0,0,1,66.2032738076923,1721.285119
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,1,1,4,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0
0,0.0,0,0.0,13,334.9666667,0.0,0.007692308,0.0,0.0,1,1,1,4,1,0,0,1,0,0,0,0,0,0,0,0,1,23.92619047857143,334.9666667
0,0.0,0,0.0,2,32.0,0.0,0.1,0.0,0.0,2,2,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,10.666666666666666,32.0
0,0.0,0,0.0,20,2981.166667,0.0,0.01,0.0,0.0,2,4,4,4,0,0,0,1,0,0,0,0,0,0,0,0,1,141.96031747619048,2981.166667
0,0.0,0,0.0,8,136.1666667,0.0,0.008333333,0.0,1.0,2,2,5,1,1,0,0,1,0,0,0,0,0,0,0,0,1,15.129629633333334,136.1666667
0,0.0,0,0.0,2,0.0,0.2,0.2,0.0,0.0,3,3,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0
